412512,CA,7,Yea,Rep. Ami Bera [D],Democrat
412513,CA,8,Nay,Rep. Paul Cook [R],Republican
412514,CA,15,Yea,Rep. Eric Swalwell [D],Democrat
412515,CA,21,Nay,Rep. David Valadao [R],Republican
412516,CA,26,Yea,Rep. Julia Brownley [D],Democrat
412517,CA,29,Yea,Rep. Tony Cárdenas [D],Democrat
412519,CA,36,Yea,Rep. Raul Ruiz [D],Democrat
412520,CA,41,Yea,Rep. Mark Takano [D],Democrat
412521,CA,47,Yea,Rep. Alan Lowenthal [D],Democrat
412522,CA,51,Yea,Rep. Juan Vargas [D],Democrat
412523,CA,52,Yea,Rep. Scott Peters [D],Democrat
412524,CT,5,Yea,Rep. Elizabeth Esty [D],Democrat
412525,FL,3,Nay,Rep. Ted Yoho [R],Republican
412526,FL,6,Nay,Rep. Ron DeSantis [R],Republican
412527,FL,18,Yea,Rep. Patrick Murphy [D],Democrat
412529,FL,22,Yea,Rep. Lois Frankel [D],Democrat
412531,GA,9,Nay,Rep. Doug Collins [R],Republican
412532,HI,2,Yea,Rep. Tulsi Gabbard [D],Democrat
412533,IL,8,Not Voting,Rep. Tammy Duckworth [D],Democrat
412536,IL,13,Nay,Rep. Rodney Davis [R],Republican
412537,IL,17,Yea,Rep. Cheri Bustos [D],Democrat
412538,IN,2,Nay,Rep. Jackie Walorski [R],Republican
412539,IN,5,Nay,Rep. Susan Brooks [R],Republican
412540,IN,6,Nay,Rep. Luke Messer [R],Republican
412541,KY,6,Nay,Rep. Garland “Andy” Barr [R],Republican
412543,MA,4,Yea,Rep. Joseph Kennedy III [D],Democrat
412544,MD,6,Not Voting,Rep. John Delaney [D],Democrat
412546,MI,5,Yea,Rep. Daniel Kildee [D],Democrat
412548,MO,2,Nay,Rep. Ann Wagner [R],Republican
412550,NC,8,Nay,Rep. Richard Hudson [R],Republican
412551,NC,9,Nay,Rep. Robert Pittenger [R],Republican
412552,NC,11,Nay,Rep. Mark Meadows [R],Republican
412553,NC,13,Nay,Rep. George Holding [R],Republican
412555,ND,0,Nay,Rep. Kevin Cramer [R],Republican
412557,NH,2,Yea,Rep. Ann Kuster [D],Democrat
412558,NM,1,Yea,Rep. Michelle Lujan Grisham [D],Democrat
412560,NY,6,Yea,Rep. Grace Meng [D],Democrat
412561,NY,8,Yea,Rep. Hakeem Jeffries [D],Democrat
412562,NY,18,Yea,Rep. Sean Maloney [D],Democrat
412563,NY,27,Nay,Rep. Chris Collins [R],Republican
412564,OH,2,Nay,Rep. Brad Wenstrup [R],Republican
412565,OH,3,Yea,Rep. Joyce Beatty [D],Democrat
412566,OH,14,Nay,Rep. David Joyce [R],Republican
412567,OK,1,Nay,Rep. Jim Bridenstine [R],Republican
412568,OK,2,Nay,Rep. Markwayne Mullin [R],Republican
412569,PA,4,Nay,Rep. Scott Perry [R],Republican
412570,PA,12,Nay,Rep. Keith Rothfus [R],Republican
412571,PA,17,Yea,Rep. Matthew Cartwright [D],Democrat
412572,SC,7,Nay,Rep. Tom Rice [R],Republican
412574,TX,14,Nay,Rep. Randy Weber [R],Republican
412575,TX,16,Yea,Rep. Beto O'Rourke [D],Democrat
412576,TX,20,Yea,Rep. Joaquin Castro [D],Democrat
412578,TX,25,Nay,Rep. Roger Williams [R],Republican
412579,TX,33,Yea,Rep. Marc Veasey [D],Democrat
412580,TX,34,Yea,Rep. Filemon Vela [D],Democrat
412581,UT,2,Nay,Rep. Chris Stewart [R],Republican
412583,WA,6,Yea,Rep. Derek Kilmer [D],Democrat
412584,WA,10,Yea,Rep. Denny Heck [D],Democrat
412585,WI,2,Yea,Rep. Mark Pocan [D],Democrat
412595,IL,2,Yea,Rep. Robin Kelly [D],Democrat
412596,MO,8,Nay,Rep. Jason Smith [R],Republican
412600,MA,5,Yea,Rep. Katherine Clark [D],Democrat
412601,AL,1,Nay,Rep. Bradley Byrne [R],Republican
412603,FL,13,Not Voting,Rep. David Jolly [R],Republican
412604,FL,19,Nay,Rep. Curtis “Curt” Clawson [R],Republican
412605,VA,7,Nay,Rep. David “Dave” Brat [R],Republican
412606,NJ,1,Yea,Rep. Donald Norcross [D],Democrat
412607,NC,12,Yea,Rep. Alma Adams [D],Democrat
412608,AL,6,Nay,Rep. Gary Palmer [R],Republican
412609,AR,2,Nay,Rep. French Hill [R],Republican
412610,AR,4,Nay,Rep. Bruce Westerman [R],Republican
412611,AZ,2,Nay,Rep. Martha McSally [R],Republican
412612,AZ,7,Yea,Rep. Ruben Gallego [D],Democrat
412613,CA,11,Yea,Rep. Mark DeSaulnier [D],Democrat
412614,CA,25,Nay,Rep. Steve Knight [R],Republican
412615,CA,31,Yea,Rep. Pete Aguilar [D],Democrat
412616,CA,33,Yea,Rep. Ted Lieu [D],Democrat
412617,CA,35,Yea,Rep. Norma Torres [D],Democrat
412618,CA,45,Nay,Rep. Mimi Walters [R],Republican
412619,CO,4,Nay,Rep. Ken Buck [R],Republican
412620,FL,2,Yea,Rep. Gwen Graham [D],Democrat
412621,FL,26,Nay,Rep. Carlos Curbelo [R],Republican
412622,GA,1,Nay,Rep. Buddy Carter [R],Republican
412623,GA,10,Nay,Rep. Jody Hice [R],Republican
412624,GA,11,Nay,Rep. Barry Loudermilk [R],Republican
412625,GA,12,Nay,Rep. Rick Allen [R],Republican
412627,IA,1,Nay,Rep. Rod Blum [R],Republican
412628,IA,3,Nay,Rep. David Young [R],Republican
412629,IL,12,Nay,Rep. Mike Bost [R],Republican
412630,LA,5,Nay,Rep. Ralph Abraham [R],Republican
412631,LA,6,Nay,Rep. Garret Graves [R],Republican
412632,MA,6,Yea,Rep. Seth Moulton [D],Democrat
412633,ME,2,Nay,Rep. Bruce Poliquin [R],Republican
412634,MI,4,Nay,Rep. John Moolenaar [R],Republican
412635,MI,8,Nay,Rep. Mike Bishop [R],Republican
412636,MI,11,Nay,Rep. Dave Trott [R],Republican
412637,MI,12,Yea,Rep. Debbie Dingell [D],Democrat
